公司编码,店铺编码,合同开始日,营业年月,销售额(减退货前销售额(税拔)),纯销售额(减退货后的销售额(税拔)),纯销售额(税入),纯销售额(17％),纯销售额(13％),纯销售额(6％),纯销售额(3％),纯销售额(0%),纯销售增值税(17%),纯销售增值税(13％),纯销售增值税(6%),纯销售增值税(3％),纯销售增值税(合計),入金1名称,入金1,入金2名称,入金2,入金3名称,入金3,入金4名称,入金4,入金5名称,入金5,入金6名称,入金6,入金7名称,入金7,入金8名称,入金8,入金9名称,入金9,入金10名称,入金10,入金-合计收入,出金1名称,出金1,出金2名称,出金2,出金3名称,出金3,出金4名称,出金4,出金5名称,出金5,出金6名称,出金6,出金7名称,出金7,出金8名称,出金8,出金9名称,出金9,出金10名称,出金10,出金-合计,现金溢缺,售价变更2-1,售价变更2-2,售价变更3-1(售价),售价变更3-2(售价),售价变更3-3(售价),售价变更3-1(进价),售价变更3-2(进价),售价变更3-3(进价),进货进价(商品),进货进价(消耗品),商品进货原价,入金预定额月合計,盘点损溢进价(不含税),月末库存进价(不含税),盘点损溢售价(不含税),月末库存售价(不含税),成本率,营业天数,服务商品进款合计,日均销售额,销售额(原价算入),纯销售额(原价算入),纯销售增值税(原价算入),进货进价(原价算入),月末库存进价(不含税)(原价算入),送信日,月初库存进价(不含税),月初库存售价(不含税),月初库存进价(不含税)(原价算入),期间销售净额,售价变更1-2,售价变更3-1(进价)（DEPT指定）,售价变更3-2(进价)（DEPT指定）,纯销售额(17％)(原价算入),纯销售额(13％)(原价算入),纯销售额(6％)(原价算入),纯销售额(3％)(原价算入),纯销售额(0％)(原价算入),纯销售增值税(17％)(原价算入),纯销售增值税(13％)(原价算入),纯销售增值税(6％)(原价算入),纯销售增值税(3％)(原价算入)
01,1001,19960719,201603,859358.39,857516.05,1000942.43,823967.20,26004.95,0,0,7543.90,140036.63,3389.75,0,0,143426.38,废纸箱收入,0,废油收入,0,公用电话费收入,0,其他收入,0,,0,,0,,0,,0,,0,,0,0,营业用消耗品,0,电话费,0,清扫费,0,其他杂费,0,,0,,0,,0,,0,,0,,0,0,1191.30,0,0,19297.49,411.83,0,11967.76,302.16,0,435864.98,4227.80,214117.33,1431515.24,-1461.21,304933.25,-1991.63,415624.99,73.37,31,623325.33,27661.81,0,0,0,0,0,20160418,287260.11,388403.49,0,1222875.42,4618.82,11967.76,302.16,0,0,0,0,0,0,0,0,0
01,1002,20150601,201603,543145.15,542345.11,633586.77,530052.17,8765.04,0,0,3527.90,90098.70,1142.96,0,0,91241.66,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,85.95,0,0,10950.48,751.60,0,6836.72,573.85,0,211474.27,1808.38,226294.01,992432,0,244975.94,0,320844.41,76.35,31,516707.78,17495,0,0,0,0,0,20160418,227945.17,297814.94,0,0,5470.99,6836.72,573.85,0,0,0,0,0,0,0,0,0
01,1003,20140701,201603,411102.18,410836.85,479574.40,396313.12,10560.63,0,0,3963.10,67361.18,1376.37,0,0,68737.55,废纸箱收入,0,废油收入,0,公用电话费收入,0,其他收入,0,,0,,0,,0,,0,,0,,0,0,营业用消耗品,0,电话费,0,清扫费,0,其他杂费,0,,0,,0,,0,,0,,0,,0,0,577.27,0,0,8038.58,424.67,0,4998.01,322.96,0,180933.37,437.94,74344.74,455155.19,-12452.94,297884.33,-16375.21,391708.25,76.05,31,108168.03,13252.80,0,0,0,0,0,20160418,342779.65,446455.57,0,1237819.06,2094.02,4998.01,322.96,0,0,0,0,0,0,0,0,0
01,1005,20151001,201603,325195.68,315029.18,367986.61,307016.58,5919.80,0,0,2092.80,52185.03,772.40,0,0,52957.43,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,106.97,0,0,7207.10,545.58,0,4569.63,422.28,0,120680.34,319.67,108616.76,530796,-5513.58,201476.23,-7123.63,260310.25,77.40,31,262659.82,10162.23,0,0,0,0,0,20160418,213738.97,274869.01,0,964858.51,1746.31,4569.63,422.28,0,0,0,0,0,0,0,0,0
01,1006,19990601,201603,290626.52,290600.02,339426.79,283660.38,4713.94,0,0,2225.70,48212.71,614.06,0,0,48826.77,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,营业用消耗品,50,,0,,0,,0,,0,,0,,0,,0,,0,,0,50,27.75,0,0,10217.46,689.69,0,6489.29,510.78,0,132452.25,1814.37,59316.53,292499.30,-489.94,141121.85,-661.58,190561.25,74.06,31,46990.16,9374.19,0,0,0,0,0,20160418,166890.52,222670.33,0,851395.80,2452.08,6489.29,510.78,0,0,0,0,0,0,0,0,0
01,1007,20140901,201603,345904.99,345253.58,403556.31,338550.60,5834.18,0,0,868.80,57542.61,760.12,0,0,58302.73,废纸箱收入,0,废油收入,0,公用电话费收入,0,其他收入,0,,0,,0,,0,,0,,0,,0,0,营业用消耗品,0,电话费,0,清扫费,0,其他杂费,0,,0,,0,,0,,0,,0,,0,0,95.42,0,0,9878.55,554.36,0,6351.44,432.96,0,126077.88,1004.98,105992.42,374049.80,0,255005.56,0,326529.16,78.10,31,63152.69,11137.21,0,0,0,0,0,20160418,295544.15,375268.43,0,0,2665.81,6351.44,432.96,0,0,0,0,0,0,0,0,0
01,1009,20150601,201603,337420.02,334416.86,390422.71,324018.99,7191.17,0,0,3206.70,55069.92,935.93,0,0,56005.85,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,177.16,0,0,10661.45,117.21,0,6925.88,88.21,0,155930.58,419.33,59311.14,449218.80,0,197313.20,0,262165.99,75.26,31,150853.93,10787.64,0,0,0,0,0,20160418,235985.09,309697.81,0,0,1099.84,6925.88,88.21,0,0,0,0,0,0,0,0,0
01,1012,19990501,201603,652242.33,652130.05,762108.33,638094.28,11778.67,0,0,2257.10,108445.15,1533.13,0,0,109978.28,废纸箱收入,0,废油收入,0,公用电话费收入,0,其他收入,0,,0,,0,,0,,0,,0,,0,0,营业用消耗品,0,电话费,0,清扫费,0,其他杂费,0,,0,,0,,0,,0,,0,,0,0,-98.56,0,0,18140.86,900.49,0,11510.15,668.61,0,574243.66,2310.06,43691.69,637564.90,-4857.23,515001.70,-6542.15,693649.83,74.25,31,76518.95,21036.45,0,0,0,0,0,20160418,381756.89,508733.79,0,733417.95,6125.63,11510.15,668.61,0,0,0,0,0,0,0,0,0
01,1015,20151001,201603,368103.93,367704.54,429553.92,356929.49,9145.55,0,0,1629.50,60659.23,1190.15,0,0,61849.38,废纸箱收入,0,废油收入,0,公用电话费收入,0,其他收入,0,,0,,0,,0,,0,,0,,0,0,营业用消耗品,0,电话费,0,清扫费,0,其他杂费,0,,0,,0,,0,,0,,0,,0,0,92.09,0,0,3580.03,598.05,0,2305.13,451.17,0,163762.27,1284.85,71229.72,445255.33,6527.13,187573.51,8651.89,248633.73,75.44,31,130642.24,11861.44,0,0,0,0,0,20160418,234806.95,307375.95,0,590525.09,4815.22,2305.13,451.17,0,0,0,0,0,0,0,0,0
01,1022,20141101,201603,384533.55,383250.28,447922.12,372674.43,10258.65,0,0,317.20,63333.39,1338.45,0,0,64671.84,废纸箱收入,0,废油收入,0,公用电话费收入,0,其他收入,0,,0,,0,,0,,0,,0,,0,0,营业用消耗品,0,电话费,0,清扫费,0,其他杂费,0,,0,,0,,0,,0,,0,,0,0,95.90,0,0,11369.86,296.23,0,7195.25,211.66,0,207385.40,1202.74,63132.10,413262.30,0,123249.57,0,172500.06,71.45,31,83653.48,12362.91,0,0,0,0,0,20160418,134717.80,188564.46,0,0,2927.34,7195.25,211.66,0,0,0,0,0,0,0,0,0
